age,duration,campaign,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
49,227,4,1,1,2,0,0,0,0,7,4,1,0
37,202,2,2,1,6,0,0,0,1,7,4,0,0
55,550,1,5,1,0,0,0,0,0,3,1,1,1
36,120,2,0,1,6,0,1,0,1,6,1,1,0
55,368,2,5,0,6,0,0,0,0,4,3,1,0
29,256,2,0,2,6,0,0,0,0,1,4,1,0
26,449,1,8,2,2,0,0,0,1,1,4,1,1
30,126,2,1,1,0,0,1,0,0,7,4,1,0
50,550,1,1,1,0,0,0,0,1,6,0,1,0
33,498,5,0,2,3,0,1,0,0,3,3,1,0
44,158,5,7,0,3,0,1,0,0,3,1,1,0
32,93,5,9,1,6,0,1,0,1,6,0,1,0
26,71,1,6,2,5,0,1,0,0,3,2,1,0
43,203,1,4,1,6,0,0,1,1,3,2,1,0
55,369,1,1,1,2,0,0,0,0,6,2,1,0
40,550,1,1,1,2,0,1,0,0,6,4,1,1
32,105,1,0,0,6,0,1,0,0,1,3,1,0
47,148,5,9,2,5,0,0,0,1,6,3,1,0
50,98,5,7,2,0,0,1,0,1,6,3,1,0
34,288,2,0,2,6,0,0,1,0,5,3,2,1
46,177,1,7,1,6,0,0,0,0,1,3,1,0
39,155,1,1,1,0,0,0,0,0,6,2,1,0
41,141,1,0,0,1,0,0,0,1,3,1,1,0
30,144,3,9,2,6,0,1,0,1,6,1,1,0
55,212,3,10,0,6,0,0,0,0,5,3,2,1
33,146,1,1,2,0,0,1,0,0,8,0,0,0
46,325,2,7,1,3,0,0,0,0,0,4,1,0
38,291,1,1,0,3,0,1,1,0,7,4,1,0
36,103,1,0,0,6,0,1,1,0,3,4,1,0
30,121,1,9,2,5,0,1,0,0,1,2,1,0
34,236,5,9,2,3,0,0,0,1,4,0,1,0
55,163,1,5,1,0,0,0,0,0,1,2,1,0
46,550,3,0,2,6,0,1,0,0,7,3,0,0
44,134,1,6,0,5,0,1,1,0,4,2,0,0
55,89,1,5,1,0,0,1,1,0,1,4,1,0
32,550,5,0,2,6,0,0,0,0,6,0,1,0
34,266,1,0,1,6,0,0,0,0,3,4,1,0
33,367,5,6,1,6,0,0,0,1,6,3,1,0
34,70,1,1,1,2,0,1,0,0,0,0,0,0
26,297,4,0,1,3,0,0,0,0,0,1,1,0
39,138,1,1,1,1,0,0,0,0,6,0,1,0
30,282,2,9,1,6,0,0,0,1,6,0,1,0
41,550,2,9,0,5,0,0,0,0,0,2,0,1
55,60,4,0,1,6,0,1,0,0,1,2,1,0
30,75,1,0,1,6,0,0,0,1,4,0,1,0
48,88,4,7,0,3,0,0,1,0,3,1,1,0
36,474,1,9,2,5,0,1,0,0,1,2,1,1
46,162,1,6,1,0,0,1,1,0,7,3,0,0
48,223,2,0,2,3,0,0,0,0,0,1,1,0
36,112,4,2,1,3,0,1,0,1,4,1,1,0
53,232,1,6,1,6,0,1,0,1,6,4,1,0
55,71,4,5,1,2,0,1,1,1,6,4,1,0
48,550,3,1,1,6,0,1,0,0,1,2,1,0
35,211,1,1,1,2,0,0,0,0,6,0,0,0
50,293,4,2,1,5,0,1,0,0,1,2,1,0
32,230,1,9,2,5,0,1,1,0,0,1,0,0
37,182,2,9,2,6,0,0,0,1,4,1,1,0
55,154,1,7,0,3,0,0,0,1,6,1,1,0
35,120,5,1,2,2,0,1,0,0,3,3,1,0
51,440,2,1,1,0,0,1,0,0,6,4,1,1
51,297,4,0,1,6,0,0,0,0,4,1,1,1
44,172,2,9,0,5,0,1,0,0,0,2,1,0
36,121,2,1,1,2,0,1,0,1,6,1,1,0
36,550,2,10,1,6,0,0,0,0,3,2,1,0
47,310,3,0,2,6,0,0,0,0,1,2,1,0
30,126,1,9,2,5,0,1,0,0,1,0,1,0
32,46,4,0,1,6,0,0,0,0,3,2,1,0
39,197,4,0,1,6,0,1,0,1,3,4,1,0
55,313,1,5,1,5,0,0,0,0,9,0,1,0
34,347,1,0,2,3,0,0,0,0,7,4,1,0
32,49,1,0,2,6,0,1,0,1,6,3,1,0
55,226,1,7,1,0,0,0,0,1,6,0,1,0
26,219,1,1,2,2,0,0,0,0,3,4,1,0
39,36,5,1,1,2,0,1,0,0,6,0,1,0
39,173,5,2,1,3,0,0,1,1,6,4,1,0
39,84,1,4,1,3,0,1,0,0,7,3,1,0
45,107,2,1,1,2,0,0,0,1,6,3,1,0
40,371,2,0,2,3,0,0,0,1,6,3,1,0
49,36,5,0,1,3,0,0,0,0,1,3,1,0
48,115,2,9,2,3,0,1,1,1,6,0,1,0
26,268,3,0,2,3,0,0,0,1,6,3,1,0
49,284,1,1,0,6,0,1,0,0,3,4,1,0
33,130,3,1,2,2,0,0,0,0,6,1,1,0
35,61,2,7,2,2,0,0,0,0,3,0,1,0
33,550,2,2,1,6,0,0,0,0,3,1,1,0
36,152,2,3,1,0,0,0,0,1,4,1,1,0
49,363,5,0,2,3,0,0,0,1,6,3,1,0
30,67,1,4,1,6,0,0,0,0,6,0,0,0
55,218,2,5,1,0,0,1,0,0,3,3,2,1
34,247,1,4,1,6,0,1,0,1,6,0,1,0
48,36,5,4,0,6,0,0,0,0,6,2,1,0
44,73,5,4,1,3,0,0,1,1,3,1,1,0
50,189,1,10,1,5,0,0,0,1,6,2,1,0
49,134,1,1,1,2,0,0,0,0,3,2,1,0
28,489,5,0,2,6,0,0,0,0,1,2,1,1
50,550,3,1,0,2,0,0,0,1,6,0,1,0
40,154,1,0,2,3,0,1,0,0,4,3,0,0
48,36,5,7,1,2,0,0,0,0,6,0,1,0
32,50,5,9,1,6,0,1,1,1,3,2,1,0
29,255,1,0,1,3,0,0,0,1,4,1,1,0
29,36,1,0,2,3,0,1,0,1,6,1,1,0
55,110,2,2,0,6,0,0,0,0,7,0,1,0
45,56,2,0,1,6,0,1,0,1,6,2,1,0
52,56,5,9,0,5,0,1,0,1,4,1,1,0
32,75,4,9,2,6,0,1,0,0,6,4,1,0
38,153,2,9,1,5,0,1,0,1,6,3,1,0
33,233,1,0,2,6,0,1,0,0,8,0,1,1
29,94,4,9,2,5,0,1,0,0,1,2,1,0
37,198,2,0,1,6,0,1,0,0,1,3,1,0
55,156,1,5,1,0,0,1,0,0,5,2,1,1
55,109,1,4,1,6,0,1,0,1,7,0,1,0
37,550,4,1,0,2,0,1,0,1,6,2,1,1
40,84,3,0,1,3,0,0,1,1,6,0,1,0
43,483,5,7,0,6,0,1,1,0,3,3,1,0
26,36,1,1,2,0,0,1,0,1,7,2,1,0
41,46,1,6,1,5,0,1,0,0,6,2,1,0
35,153,1,1,2,1,0,1,0,0,3,1,1,0
37,179,2,1,1,2,0,0,0,1,3,1,1,0
44,245,3,9,0,5,0,1,0,0,6,2,1,0
32,234,4,1,2,3,0,0,0,1,3,2,1,0
55,332,3,5,1,0,0,0,0,0,1,3,1,0
36,131,1,1,1,6,0,1,0,0,6,2,1,0
